0.45% Sodium Cl 1000mL,last_updated_on,version,hospital_location,hospital_address,license_number|MO,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,,,,,,,,,
CT Chest wo Contrast,613825,CDM,610,RC,73218,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Chest wo Contrast,613825,CDM,610,RC,73218,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,205.43,2145,percent of total billed charges,
CT Chest wo Contrast,613977,CDM,610,RC,73218,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Chest wo Contrast,613977,CDM,610,RC,73218,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,205.43,2145,percent of total billed charges,
CT Chest wo Contrast,614271,CDM,610,RC,73218,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Chest wo Contrast,614271,CDM,610,RC,73218,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,205.43,2145,percent of total billed charges,
CT Chest wo Contrast,614347,CDM,610,RC,73218,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Chest wo Contrast,614347,CDM,610,RC,73218,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,205.43,2145,percent of total billed charges,
CT Chest wo Contrast High Resolution,614371,CDM,610,RC,73218,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Chest wo Contrast High Resolution,614371,CDM,610,RC,73218,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,205.43,2145,percent of total billed charges,
CT Chest wo Contrast High Resolution,613520,CDM,610,RC,73218,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Chest wo Contrast High Resolution,613520,CDM,610,RC,73218,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,205.43,2145,percent of total billed charges,
CT Chest wo Contrast High Resolution,613738,CDM,610,RC,73218,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Chest wo Contrast High Resolution,613738,CDM,610,RC,73218,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,205.43,2145,percent of total billed charges,
CT Chest wo Contrast High Resolution,613807,CDM,610,RC,73218,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Chest wo Contrast High Resolution,613807,CDM,610,RC,73218,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,205.43,2145,percent of total billed charges,
CT Chest wo Contrast High Resolution,613950,CDM,610,RC,73218,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Chest wo Contrast High Resolution,613950,CDM,610,RC,73218,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,205.43,2145,percent of total billed charges,
CT Chest wo Contrast High Resolution,614261,CDM,610,RC,73218,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Chest wo Contrast High Resolution,614261,CDM,610,RC,73218,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,205.43,2145,percent of total billed charges,
CT Chest wo Contrast High Resolution,614341,CDM,610,RC,73218,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Chest wo Contrast High Resolution,614341,CDM,610,RC,73218,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,205.43,2145,percent of total billed charges,
CT Chest wo Contrast High Resolution,614365,CDM,610,RC,73218,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Chest wo Contrast High Resolution,614365,CDM,610,RC,73218,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,205.43,2145,percent of total billed charges,
CT Chest wo Contrast High Resolution,613743,CDM,610,RC,73219,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Chest wo Contrast High Resolution,613743,CDM,610,RC,73219,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,322.43,2145,percent of total billed charges,
CT Chest wo Contrast High Resolution,613813,CDM,610,RC,73219,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Chest wo Contrast High Resolution,613813,CDM,610,RC,73219,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,322.43,2145,percent of total billed charges,
CT Chest wo Contrast High Resolution,613961,CDM,610,RC,73219,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Chest wo Contrast High Resolution,613961,CDM,610,RC,73219,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,322.43,2145,percent of total billed charges,
CT Chest wo Contrast High Resolution,614103,CDM,610,RC,73219,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Chest wo Contrast High Resolution,614103,CDM,610,RC,73219,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,322.43,2145,percent of total billed charges,
CT Chest wo Contrast High Resolution,614263,CDM,610,RC,73219,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Chest wo Contrast High Resolution,614263,CDM,610,RC,73219,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,322.43,2145,percent of total billed charges,
CT Chest wo Contrast High Resolution,614343,CDM,610,RC,73219,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Chest wo Contrast High Resolution,614343,CDM,610,RC,73219,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,322.43,2145,percent of total billed charges,
CT Colonography w Contrast,614367,CDM,610,RC,73219,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Colonography w Contrast,614367,CDM,610,RC,73219,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,322.43,2145,percent of total billed charges,
CT Colonography w Contrast,613724,CDM,610,RC,73219,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Colonography w Contrast,613724,CDM,610,RC,73219,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,322.43,2145,percent of total billed charges,
CT Colonography w Contrast,613797,CDM,610,RC,73219,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Colonography w Contrast,613797,CDM,610,RC,73219,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,322.43,2145,percent of total billed charges,
CT Colonography w Contrast,613933,CDM,610,RC,73219,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Colonography w Contrast,613933,CDM,610,RC,73219,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,322.43,2145,percent of total billed charges,
CT Colonography w Contrast,614093,CDM,610,RC,73219,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Colonography w Contrast,614093,CDM,610,RC,73219,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,322.43,2145,percent of total billed charges,
CT Colonography w Contrast,614251,CDM,610,RC,73219,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Colonography w Contrast,614251,CDM,610,RC,73219,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,322.43,2145,percent of total billed charges,
CT Colonography w Contrast,614337,CDM,610,RC,73219,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Colonography w Contrast,614337,CDM,610,RC,73219,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,322.43,2145,percent of total billed charges,
CT Colonography w Contrast,614361,CDM,610,RC,73219,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Colonography w Contrast,614361,CDM,610,RC,73219,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,322.43,2145,percent of total billed charges,
CT Colonography w Contrast,613747,CDM,610,RC,73220,CPT,,,facility,inpatient,,,2518,730.22,BCBS of KC,PAR,RT,1694.61,,,,1510.8,2059.72,percent of total billed charges,
CT Colonography w Contrast,613747,CDM,610,RC,73220,CPT,,,facility,outpatient,,,2518,730.22,BCBS of KC,PAR,RT,1694.61,,,,322.43,2145,percent of total billed charges,
CT Colonography w Contrast,613819,CDM,610,RC,73220,CPT,,,facility,inpatient,,,2518,730.22,BCBS of KC,PAR,RT,1694.61,,,,1510.8,2059.72,percent of total billed charges,
CT Colonography w Contrast,613819,CDM,610,RC,73220,CPT,,,facility,outpatient,,,2518,730.22,BCBS of KC,PAR,RT,1694.61,,,,322.43,2145,percent of total billed charges,
CT Colonography w Contrast,613967,CDM,610,RC,73220,CPT,,,facility,inpatient,,,2518,730.22,BCBS of KC,PAR,RT,1694.61,,,,1510.8,2059.72,percent of total billed charges,
CT Colonography w Contrast,613967,CDM,610,RC,73220,CPT,,,facility,outpatient,,,2518,730.22,BCBS of KC,PAR,RT,1694.61,,,,322.43,2145,percent of total billed charges,
CT Colonography w Contrast,614109,CDM,610,RC,73220,CPT,,,facility,inpatient,,,2518,730.22,BCBS of KC,PAR,RT,1694.61,,,,1510.8,2059.72,percent of total billed charges,
CT Colonography w Contrast,614109,CDM,610,RC,73220,CPT,,,facility,outpatient,,,2518,730.22,BCBS of KC,PAR,RT,1694.61,,,,322.43,2145,percent of total billed charges,
CT Colonography w Contrast,614267,CDM,610,RC,73220,CPT,,,facility,inpatient,,,2518,730.22,BCBS of KC,PAR,RT,1694.61,,,,1510.8,2059.72,percent of total billed charges,
CT Colonography w Contrast,614267,CDM,610,RC,73220,CPT,,,facility,outpatient,,,2518,730.22,BCBS of KC,PAR,RT,1694.61,,,,322.43,2145,percent of total billed charges,
CT Colonography w Contrast,614345,CDM,610,RC,73220,CPT,,,facility,inpatient,,,2518,730.22,BCBS of KC,PAR,RT,1694.61,,,,1510.8,2059.72,percent of total billed charges,
CT Colonography w Contrast,614345,CDM,610,RC,73220,CPT,,,facility,outpatient,,,2518,730.22,BCBS of KC,PAR,RT,1694.61,,,,322.43,2145,percent of total billed charges,
CT Colonography wo Contrast,614369,CDM,610,RC,73220,CPT,,,facility,inpatient,,,2518,730.22,BCBS of KC,PAR,RT,1694.61,,,,1510.8,2059.72,percent of total billed charges,
CT Colonography wo Contrast,614369,CDM,610,RC,73220,CPT,,,facility,outpatient,,,2518,730.22,BCBS of KC,PAR,RT,1694.61,,,,322.43,2145,percent of total billed charges,
CT Colonography wo Contrast,613732,CDM,610,RC,73220,CPT,,,facility,inpatient,,,2518,730.22,BCBS of KC,PAR,LT,1694.61,,,,1510.8,2059.72,percent of total billed charges,
CT Colonography wo Contrast,613732,CDM,610,RC,73220,CPT,,,facility,outpatient,,,2518,730.22,BCBS of KC,PAR,LT,1694.61,,,,322.43,2145,percent of total billed charges,
CT Colonography wo Contrast,613801,CDM,610,RC,73220,CPT,,,facility,inpatient,,,2518,730.22,BCBS of KC,PAR,LT,1694.61,,,,1510.8,2059.72,percent of total billed charges,
CT Colonography wo Contrast,613801,CDM,610,RC,73220,CPT,,,facility,outpatient,,,2518,730.22,BCBS of KC,PAR,LT,1694.61,,,,322.43,2145,percent of total billed charges,
CT Colonography wo Contrast,613939,CDM,610,RC,73220,CPT,,,facility,inpatient,,,2518,730.22,BCBS of KC,PAR,LT,1694.61,,,,1510.8,2059.72,percent of total billed charges,
CT Colonography wo Contrast,613939,CDM,610,RC,73220,CPT,,,facility,outpatient,,,2518,730.22,BCBS of KC,PAR,LT,1694.61,,,,322.43,2145,percent of total billed charges,
CT Colonography wo Contrast,614095,CDM,610,RC,73220,CPT,,,facility,inpatient,,,2518,730.22,BCBS of KC,PAR,LT,1694.61,,,,1510.8,2059.72,percent of total billed charges,
CT Colonography wo Contrast,614095,CDM,610,RC,73220,CPT,,,facility,outpatient,,,2518,730.22,BCBS of KC,PAR,LT,1694.61,,,,322.43,2145,percent of total billed charges,
CT Colonography wo Contrast,614257,CDM,610,RC,73220,CPT,,,facility,inpatient,,,2518,730.22,BCBS of KC,PAR,LT,1694.61,,,,1510.8,2059.72,percent of total billed charges,
CT Colonography wo Contrast,614257,CDM,610,RC,73220,CPT,,,facility,outpatient,,,2518,730.22,BCBS of KC,PAR,LT,1694.61,,,,322.43,2145,percent of total billed charges,
CT Colonography wo Contrast,614339,CDM,610,RC,73220,CPT,,,facility,inpatient,,,2518,730.22,BCBS of KC,PAR,LT,1694.61,,,,1510.8,2059.72,percent of total billed charges,
CT Colonography wo Contrast,614339,CDM,610,RC,73220,CPT,,,facility,outpatient,,,2518,730.22,BCBS of KC,PAR,LT,1694.61,,,,322.43,2145,percent of total billed charges,
CT Colonography wo Contrast,614363,CDM,610,RC,73220,CPT,,,facility,inpatient,,,2518,730.22,BCBS of KC,PAR,LT,1694.61,,,,1510.8,2059.72,percent of total billed charges,
CT Colonography wo Contrast,614363,CDM,610,RC,73220,CPT,,,facility,outpatient,,,2518,730.22,BCBS of KC,PAR,LT,1694.61,,,,322.43,2145,percent of total billed charges,
CT Colonography wo Contrast,613773,CDM,610,RC,73221,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Colonography wo Contrast,613773,CDM,610,RC,73221,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,205.43,2145,percent of total billed charges,
CT Colonography wo Contrast,614275,CDM,610,RC,73221,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Colonography wo Contrast,614275,CDM,610,RC,73221,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,205.43,2145,percent of total billed charges,
CT Colonography wo Contrast,614421,CDM,610,RC,73221,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Colonography wo Contrast,614421,CDM,610,RC,73221,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,205.43,2145,percent of total billed charges,
CT Colonography wo Contrast,613787,CDM,610,RC,73221,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Colonography wo Contrast,613787,CDM,610,RC,73221,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,205.43,2145,percent of total billed charges,
CT Colonography wo Contrast,614323,CDM,610,RC,73221,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Colonography wo Contrast,614323,CDM,610,RC,73221,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,205.43,2145,percent of total billed charges,
CT Colonography wo Contrast,614427,CDM,610,RC,73221,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Colonography wo Contrast,614427,CDM,610,RC,73221,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,205.43,2145,percent of total billed charges,
CT Coronary Angio w Evaluation,8161791,CDM,610,RC,73221,CPT,,,facility,inpatient,,,4700,1363,BCBS of KC,PAR,50,3163.1,,,,2820,3844.6,percent of total billed charges,
CT Coronary Angio w Evaluation,8161791,CDM,610,RC,73221,CPT,,,facility,outpatient,,,4700,1363,BCBS of KC,PAR,50,3163.1,,,,205.43,3844.6,percent of total billed charges,
CT Coronary Angio w Evaluation,613765,CDM,610,RC,73222,CPT,,,facility,inpatient,,,2404,697.16,BCBS of KC,PAR,LT,1617.89,,,,1442.4,1966.47,percent of total billed charges,
CT Coronary Angio w Evaluation,613765,CDM,610,RC,73222,CPT,,,facility,outpatient,,,2404,697.16,BCBS of KC,PAR,LT,1617.89,,,,495.89,2145,percent of total billed charges,
CT Coronary Angio w Evaluation,614297,CDM,610,RC,73222,CPT,,,facility,inpatient,,,2404,697.16,BCBS of KC,PAR,LT,1617.89,,,,1442.4,1966.47,percent of total billed charges,
CT Coronary Angio w Evaluation,614297,CDM,610,RC,73222,CPT,,,facility,outpatient,,,2404,697.16,BCBS of KC,PAR,LT,1617.89,,,,495.89,2145,percent of total billed charges,
CT Coronary Angio w Evaluation,614417,CDM,610,RC,73222,CPT,,,facility,inpatient,,,2404,697.16,BCBS of KC,PAR,LT,1617.89,,,,1442.4,1966.47,percent of total billed charges,
CT Coronary Angio w Evaluation,614417,CDM,610,RC,73222,CPT,,,facility,outpatient,,,2404,697.16,BCBS of KC,PAR,LT,1617.89,,,,495.89,2145,percent of total billed charges,
CT Coronary Angio w Evaluation,7285946,CDM,610,RC,73222,CPT,,,facility,inpatient,,,2404,697.16,BCBS of KC,PAR,LT,1617.89,,,,1442.4,1966.47,percent of total billed charges,
CT Coronary Angio w Evaluation,7285946,CDM,610,RC,73222,CPT,,,facility,outpatient,,,2404,697.16,BCBS of KC,PAR,LT,1617.89,,,,495.89,2145,percent of total billed charges,
CT Coronary Angio w Evaluation,7286002,CDM,610,RC,73222,CPT,,,facility,inpatient,,,2404,697.16,BCBS of KC,PAR,LT,1617.89,,,,1442.4,1966.47,percent of total billed charges,
CT Coronary Angio w Evaluation,7286002,CDM,610,RC,73222,CPT,,,facility,outpatient,,,2404,697.16,BCBS of KC,PAR,LT,1617.89,,,,495.89,2145,percent of total billed charges,
CT Coronary Angio w Evaluation,7286019,CDM,610,RC,73222,CPT,,,facility,inpatient,,,2404,697.16,BCBS of KC,PAR,LT,1617.89,,,,1442.4,1966.47,percent of total billed charges,
CT Coronary Angio w Evaluation,7286019,CDM,610,RC,73222,CPT,,,facility,outpatient,,,2404,697.16,BCBS of KC,PAR,LT,1617.89,,,,495.89,2145,percent of total billed charges,
CT Coronary Angio w Evaluation,613777,CDM,610,RC,73222,CPT,,,facility,inpatient,,,2404,697.16,BCBS of KC,PAR,RT,1617.89,,,,1442.4,1966.47,percent of total billed charges,
CT Coronary Angio w Evaluation,613777,CDM,610,RC,73222,CPT,,,facility,outpatient,,,2404,697.16,BCBS of KC,PAR,RT,1617.89,,,,495.89,2145,percent of total billed charges,
CT Coronary Angio w Evaluation,614305,CDM,610,RC,73222,CPT,,,facility,inpatient,,,2404,697.16,BCBS of KC,PAR,RT,1617.89,,,,1442.4,1966.47,percent of total billed charges,
CT Coronary Angio w Evaluation,614305,CDM,610,RC,73222,CPT,,,facility,outpatient,,,2404,697.16,BCBS of KC,PAR,RT,1617.89,,,,495.89,2145,percent of total billed charges,
CT Coronary Angio w Evaluation,614423,CDM,610,RC,73222,CPT,,,facility,inpatient,,,2404,697.16,BCBS of KC,PAR,RT,1617.89,,,,1442.4,1966.47,percent of total billed charges,
CT Coronary Angio w Evaluation,614423,CDM,610,RC,73222,CPT,,,facility,outpatient,,,2404,697.16,BCBS of KC,PAR,RT,1617.89,,,,495.89,2145,percent of total billed charges,
CT Coronary Angio w Evaluation,7285950,CDM,610,RC,73222,CPT,,,facility,inpatient,,,2404,697.16,BCBS of KC,PAR,RT,1617.89,,,,1442.4,1966.47,percent of total billed charges,
CT Coronary Angio w Evaluation,7285950,CDM,610,RC,73222,CPT,,,facility,outpatient,,,2404,697.16,BCBS of KC,PAR,RT,1617.89,,,,495.89,2145,percent of total billed charges,
CT Coronary Angio w Evaluation,7286006,CDM,610,RC,73222,CPT,,,facility,inpatient,,,2404,697.16,BCBS of KC,PAR,RT,1617.89,,,,1442.4,1966.47,percent of total billed charges,
CT Coronary Angio w Evaluation,7286006,CDM,610,RC,73222,CPT,,,facility,outpatient,,,2404,697.16,BCBS of KC,PAR,RT,1617.89,,,,495.89,2145,percent of total billed charges,
CT Coronary Angio w Evaluation,7286023,CDM,610,RC,73222,CPT,,,facility,inpatient,,,2404,697.16,BCBS of KC,PAR,RT,1617.89,,,,1442.4,1966.47,percent of total billed charges,
CT Coronary Angio w Evaluation,7286023,CDM,610,RC,73222,CPT,,,facility,outpatient,,,2404,697.16,BCBS of KC,PAR,RT,1617.89,,,,495.89,2145,percent of total billed charges,
CT Coronary Angio w Evaluation,8284388,CDM,610,RC,73222,CPT,,,facility,inpatient,,,4808,1394.32,BCBS of KC,PAR,50,3235.78,,,,2884.8,3932.94,percent of total billed charges,
CT Coronary Angio w Evaluation,8284388,CDM,610,RC,73222,CPT,,,facility,outpatient,,,4808,1394.32,BCBS of KC,PAR,50,3235.78,,,,495.89,3932.94,percent of total billed charges,
CT Coronary Angio with Evaluation,613783,CDM,610,RC,73223,CPT,,,facility,inpatient,,,2518,730.22,BCBS of KC,PAR,RT,1694.61,,,,1510.8,2059.72,percent of total billed charges,
CT Coronary Angio with Evaluation,613783,CDM,610,RC,73223,CPT,,,facility,outpatient,,,2518,730.22,BCBS of KC,PAR,RT,1694.61,,,,322.43,2145,percent of total billed charges,
CT Coronary Angio with Evaluation,614311,CDM,610,RC,73223,CPT,,,facility,inpatient,,,2518,730.22,BCBS of KC,PAR,RT,1694.61,,,,1510.8,2059.72,percent of total billed charges,
CT Coronary Angio with Evaluation,614311,CDM,610,RC,73223,CPT,,,facility,outpatient,,,2518,730.22,BCBS of KC,PAR,RT,1694.61,,,,322.43,2145,percent of total billed charges,
CT Coronary Angio with Evaluation,614425,CDM,610,RC,73223,CPT,,,facility,inpatient,,,2518,730.22,BCBS of KC,PAR,RT,1694.61,,,,1510.8,2059.72,percent of total billed charges,
CT Coronary Angio with Evaluation,614425,CDM,610,RC,73223,CPT,,,facility,outpatient,,,2518,730.22,BCBS of KC,PAR,RT,1694.61,,,,322.43,2145,percent of total billed charges,
CT Coronary Angio with Evaluation,613769,CDM,610,RC,73223,CPT,,,facility,inpatient,,,2518,730.22,BCBS of KC,PAR,LT,1694.61,,,,1510.8,2059.72,percent of total billed charges,
CT Coronary Angio with Evaluation,613769,CDM,610,RC,73223,CPT,,,facility,outpatient,,,2518,730.22,BCBS of KC,PAR,LT,1694.61,,,,322.43,2145,percent of total billed charges,
CT Coronary Angio with Evaluation,614301,CDM,610,RC,73223,CPT,,,facility,inpatient,,,2518,730.22,BCBS of KC,PAR,LT,1694.61,,,,1510.8,2059.72,percent of total billed charges,
CT Coronary Angio with Evaluation,614301,CDM,610,RC,73223,CPT,,,facility,outpatient,,,2518,730.22,BCBS of KC,PAR,LT,1694.61,,,,322.43,2145,percent of total billed charges,
CT Coronary Angio with Evaluation,614419,CDM,610,RC,73223,CPT,,,facility,inpatient,,,2518,730.22,BCBS of KC,PAR,LT,1694.61,,,,1510.8,2059.72,percent of total billed charges,
CT Coronary Angio with Evaluation,614419,CDM,610,RC,73223,CPT,,,facility,outpatient,,,2518,730.22,BCBS of KC,PAR,LT,1694.61,,,,322.43,2145,percent of total billed charges,
CT Coronary Angio with Evaluation,1063803,CDM,610,RC,73718,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Coronary Angio with Evaluation,1063803,CDM,610,RC,73718,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,205.43,2145,percent of total billed charges,
CT Coronary Angio with Evaluation,613858,CDM,610,RC,73718,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Coronary Angio with Evaluation,613858,CDM,610,RC,73718,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,205.43,2145,percent of total billed charges,
CT Coronary Angio with Evaluation,614195,CDM,610,RC,73718,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Coronary Angio with Evaluation,614195,CDM,610,RC,73718,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,205.43,2145,percent of total billed charges,
CT Coronary Angio with Evaluation,614407,CDM,610,RC,73718,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Coronary Angio with Evaluation,614407,CDM,610,RC,73718,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,RT,1581.55,,,,205.43,2145,percent of total billed charges,
CT Coronary Angio with Evaluation,1053851,CDM,610,RC,73718,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Coronary Angio with Evaluation,1053851,CDM,610,RC,73718,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,205.43,2145,percent of total billed charges,
CT Coronary Angio with Evaluation,613852,CDM,610,RC,73718,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Coronary Angio with Evaluation,613852,CDM,610,RC,73718,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,205.43,2145,percent of total billed charges,
CT Coronary Angio with Evaluation,614183,CDM,610,RC,73718,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,1410,1922.3,percent of total billed charges,
CT Coronary Angio with Evaluation,614183,CDM,610,RC,73718,CPT,,,facility,outpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,205.43,2145,percent of total billed charges,
CT Coronary Angio with Evaluation,614401,CDM,610,RC,73718,CPT,,,facility,inpatient,,,2350,681.5,BCBS of KC,PAR,LT,1581.55,,,,1410,1922.3,percent of total billed charges,
